tier,chart,chartId,p1,p1nc,p2,p2nc,file_taps,file_ticks,judged,video,channel,era,footage,how,two_sided,side,p2_video,notes,title
B,Another Truth D18,24117E9D-CDBA-46B2-996B-707061FCB2E2,D18,653,D18,,381,0,653,https://youtu.be/0AwhvEuKnSM,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Another Truth(또다른 진심) D18 (pre D17 → D18 / Phoenix Modified ver.)
B,She Likes Pizza D18,DDFD3FF4-C7CE-4F2E-B3C8-5EA988BDE5CB,D18,653,D18,653,384,0,653,https://youtu.be/VUGBxQx8wic,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] She Likes Pizza(그녀는 피자를 좋아해) D18 (pre D16 → D18 / Phoenix Modified ver.)
B,Slam S18,2C113945-7FA6-47A2-AEF2-99FAD3713A3F,S18,702,S18,702,421,0,702,https://youtu.be/0zotlsONiVU,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Slam(슬램) S18 & S20 (pre S19 → S20 / Phoenix Modified ver.)
B,We will meet again D11,AB4761AE-4DA7-48D0-B72C-908621CD32FC,D11,300,D11,,182,0,300,https://youtu.be/SqpYgEUEARk,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] We will meet again(위 윌 밋 어게인) D11 (pre D8 → D11 / Phoenix Modified ver.)
B,Slam S20,A092E64C-A9DC-4716-A779-1DE6C619F6E1,S20,800,S20,800,505,0,800,https://youtu.be/0zotlsONiVU,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Slam(슬램) S18 & S20 (pre S19 → S20 / Phoenix Modified ver.)
B,Winter D21,EB1F597C-F12D-4F19-8583-2C791FCF741E,D21,800,D21,,505,0,800,https://youtu.be/LnjDld0jyXk,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Winter(윈터) D21 (pre D20 → D21 / Phoenix Modified ver.)
B,Beethoven Virus D13,3B0759E6-30A4-4717-93C4-33404A6DB3B7,D13,400,D13,400,255,0,400,https://youtu.be/3OydW7VJG68,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Beethoven Virus(베토벤 바이러스) D13 (pre D11 → D13 / Phoenix Modified ver.)
B,Will-O-The-Wisp D20,34EB9E3B-6A3A-49D3-B32F-46168CFF9E4D,D20,801,D21,,510,0,801,https://youtu.be/VADcnBS5RDk,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,Y,P2 rerate D21,"[PUMP IT UP PHOENIX] Will-O-The Wisp D21 (PNX1 D20, PRIME2 D19)"
B,Bee D15,1D1E3196-5294-4D38-9822-F434DE9E3E1A,D15,500,D15,,339,0,500,https://youtu.be/h6hMwb60hhA,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Bee(비) D15 (pre D12 → D15 / Phoenix Modified ver.)
B,Extravaganza D15,03EC032B-DD77-45F9-953D-66BE42D49545,D15,502,D15,502,340,0,502,https://youtu.be/jf-5AWFVrpY,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Extravaganza(엑스트라바간자) D15 (pre D13 → D15 / Phoenix Modified ver.)
B,Final Audition Ep. 1 D15,3200CF0A-1582-4BF5-AAF6-40FE9BDCA304,D15,500,D15,,340,0,500,https://youtu.be/GR0LvDh4EmI,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition Ep. 1 D15 (pre D13 → D15 / Phoenix Modified ver.)
B,Close Your Eye S6,CC6D7E45-EB1F-4FB2-965E-BB4FE8BC9B08,S6,201,S6,,141,0,201,https://youtu.be/3qecyp0VCUA,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Close Your Eye(눈을 감아) S6 (pre S4 → S6 / Phoenix Modified ver.)
B,Final Audition D19,2835A617-B6BA-43BD-BB20-E4B755914C31,D19,700,D19,700,488,0,700,https://youtu.be/AXAYju0GBsc,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition D19 (XX D18 / TWIST D LV.5 TITLE)
B,Will-O-The-Wisp D16,0F03D9A6-D7A6-4A72-A364-E00055F3614A,D16,550,D17,550,384,0,550,https://youtu.be/_ddGQ6TvQA8,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,P2 rerate D17,[PUMP IT UP PHOENIX] Will-O-The Wisp D16 (pre D14 → D16 / Phoenix Modified ver.)
B,Dr. M D18,47504784-7DF7-4229-83F7-8A36BCB9A929,D18,666,D19,,474,0,666,https://youtu.be/MJ6HPoYg9D4,NEVSISTER,PHOENIX,chart-video,banked,,,,P2 rerate D19,"[PUMP IT UP PHOENIX] Dr. M (닥터 엠) D19 (PNX D18, PRIME2 D16)"
B,My Way D16,775EE9C1-8A30-4225-8642-C43B276FFF83,D16,550,D16,,395,0,550,https://youtu.be/3RtKAjQdWl0,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] My Way(마이 웨이) D16 (pre D15 → D16 / Phoenix Modified ver.)
B,We will meet again S13,0B3DA60F-A6D8-4F71-8FAC-6AC32DB94E9B,S13,510,S13,,366,0,510,https://youtu.be/j63He18RRoU,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] We will meet again(위 윌 밋 어게인) S13 (Phoenix Modified ver.)
B,Final Audition Ep. 1 S17,61B5FE77-04A8-49CB-9EB2-DE8EBB589A6E,S17,606,S17,606,444,0,606,https://youtu.be/DgLesNMzb1w,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition Ep. 1 S17 (pre S16 → S17 / Phoenix Modified ver.)
B,My Way S15,1CF78526-218F-4E0F-B141-0BC0A4E8B276,S15,507,S16,507,369,0,507,https://youtu.be/bXMj-YNDufs,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,Y,P2 rerate S16,"[PUMP IT UP PHOENIX] My Way (마이 웨이) S8 & S16 (PNX1 S15, XX S14, PRIME2 S12)"
B,First Love S6,0823D84B-BB2D-489A-911B-44B436CAEABE,S6,203,S6,,151,0,203,https://youtu.be/Tfcr5kv9yEg,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] First Love(첫사랑) S6 & S12 (pre S4 → S6 & S10 → S12 / Phoenix Modified ver.)
B,Mr. Larpus D18,8ED63EEA-7AE1-414F-9AD7-82E4765D26FA,D18,660,D19,660,492,0,660,https://youtu.be/6MKwujCHaBM,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D19,"[PUMP IT UP PHOENIX] Mr. Larpus (미스터 라푸스) D19 (PNX1 D18, XX D17)"
B,Mr. Larpus D16,A71D1C7A-4661-474C-A817-E7EF68DC059C,D16,550,D17,550,426,0,550,https://youtu.be/NhCMpQh2eaI,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D17,[PUMP IT UP PHOENIX] Mr. Larpus (미스터 라푸스) D17 (PNX1 D16 / TWIST D LV.2 TITLE)
B,Dr. M D14,C06D7C54-16E4-4260-AC47-93F490F70E2E,D14,394,D14,394,310,0,394,https://youtu.be/jatpRnJNt_s,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Dr. M(닥터 엠) D14 (pre D11 → D14 / Phoenix Modified ver.)
B,Final Audition S7,4832A165-8637-4CB4-B005-D87104C75A88,S7,296,S7,,234,0,296,https://youtu.be/ICn-bgLwLxA,K.G.H,PHOENIX,cab-cam,searched,,Left,,,Pump it up Phoenix-Final Audition S7 Talented Game
B,First Love D15,E442D003-96EA-4642-9A3A-BED87198BF48,D15,450,D15,450,357,0,450,https://youtu.be/cl7uy-mYWRA,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] First Love D15 (pre D14 → D15 / Phoenix Modified ver.)
B,Vook D15,13F50493-F6EC-4369-90D0-24D28159292F,D15,450,D15,,354,0,450,https://youtu.be/0EEHF-jmwBI,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Vook(부크) D15 (pre D13 → D15 / Phoenix Modified ver.)
B,Winter D17,81515104-308E-4306-82BE-A06AF62A963D,D17,600,D18,600,472,0,600,https://youtu.be/CDO1dic37c4,NEVSISTER,PHOENIX,chart-video,banked,,,,P2 rerate D18,[PUMP IT UP PHOENIX] Winter(윈터) D17 (Phoenix Modified ver.)
B,An Interesting View S13,2B261844-6841-4532-A914-25046D190BFC,S13,400,S13,,325,0,400,https://youtu.be/yVX4_lP7664,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] An Interesting View(서울구경) S6 & S13 (Phoenix Modified ver.)
B,Beat of The War S16,D00E645E-2686-4708-AB36-F06C45AAA547,S16,500,S16,,406,0,500,https://youtu.be/XNMIAm04k_c,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Beat of The War(비트 오브 더 워) S9 & S16 (Phoenix Modified ver.)
B,Pump me Amadeus D15,1C462A2F-C1A7-4ABC-816A-7BA195DC7561,D15,449,D15,449,363,0,449,https://youtu.be/dLZsccXaoJQ,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Pump Me Amadeus(펌프 미 아마데우스) D15 (pre D12 → D15 / Phoenix Modified ver.)
B,She Likes Pizza D11,87337A0E-4F12-44B6-B888-217EDD392384,D11,300,D11,,244,0,300,https://youtu.be/Cwt1seaJnxM,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] She Likes Pizza(그녀는 피자를 좋아해) D11 (pre D9 → D11 / Phoenix Modified ver.)
B,All I Want For X-mas S5,0AB7CA67-E052-4BAC-A527-8CF55758EFD2,S5,200,S5,,167,0,200,https://youtu.be/C4723UfuqL8,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] All I Want For X-mas S5 & S9 (pre S6 → S5 / Phoenix Modified ver.)
B,Love is a Danger Zone pt.2 [Another] S18,ADBFA498-101A-4FB9-9A3D-74763800C05F,S18,764,S18,,637,0,764,https://youtu.be/zJ8Wm0UYjug,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Love is a Danger Zone pt.2 [Another] S17 & S18 (pre S16 & S17 / Modified ver.)
B,Caprice of DJ Otada S21,4F795EB3-500B-44C3-AA6F-F2390DFA3BC5,S21,904,S21,904,760,0,904,https://youtu.be/MoWM7Riiti0,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Caprice of DJ Otada S12 & S21 (pre S11 → S12 & S20 → S21/Phoenix Modified ver.)
B,Caprice of DJ Otada D22,CBBB81BD-F545-4DC9-9BE1-A3D7FE995757,D22,1000,D23,,842,0,1000,https://youtu.be/888VuP3vbTI,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D23,[PUMP IT UP PHOENIX] Caprice of DJ Otada D23 (PNX1 D22)
B,Point Break S6,398E7FEB-3E16-47C1-9A4A-0CA4F6F335DA,S6,200,S6,,168,0,200,https://youtu.be/MiUNSROmUzw,K.G.H,PHOENIX,cab-cam,searched,,Right,,,Pump it up Phoenix-Point Break S6 Marvelous Game
B,A nightmare S6,CB437A3D-3C77-40F5-BF9C-E8F62C08214B,S6,200,S6,,171,0,200,https://youtu.be/l_6Hc6DSLNc,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] A Nightmare(악몽) S3 & S6 (pre S2 → S3 & S4 → S6 / Phoenix Modified ver.)
B,2006. LOVE SONG D14,5311047B-D101-4A3A-9B89-3BA2CAF7CA91,D14,401,D14,401,344,0,401,https://youtu.be/X6t8wL8Bkmc,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] 2006. LOVE SONG(사랑가 2006) D14 (pre D13 → D14 / Phoenix Modified ver.)
B,Final Audition S18,5037E875-E9A9-485D-A620-739F94D756F0,S18,601,S18,,517,0,601,https://youtu.be/ILkwtynEdoU,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Final Audition S18 & S19 (pre S17 → S18 & S18 → S19 / Phoenix Modified ver.)
B,Mission Possible S7,A57EFEE8-9430-4F98-84AA-21E3FD4AFF47,S7,212,S7,,184,0,212,https://youtu.be/e-ejK3Pw-Bc,Legender,PHOENIX,cab-cam,searched,,,,,[PIU Phoenix] Mission Possible - S7 (SSS+)
B,Winter S16,CF99BC04-C23E-4869-9E50-2D463CBCECBA,S16,540,S16,540,472,0,540,https://youtu.be/sNCNNndY3oE,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Winter(윈터) S16 (Phoenix Modified ver.)
B,Oh! Rosa D11,3346E8F1-7CC0-4716-82ED-939AA471A0E3,D11,300,D11,,270,0,300,https://youtu.be/1CZt_IOEe2w,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Oh! Rosa(오! 로사) D11 (pre D7 → D11 / Phoenix Modified ver.)
B,Will-O-The-Wisp S16,DDF7395D-5096-4088-8D63-31D690DC13B8,S16,500,S16,500,449,0,500,https://youtu.be/Dkpv7LP8LGI,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,Right,,,[PUMP IT UP PHOENIX] Will-O-The Wisp S13 & S16 (pre S11 → S13 & S14 → S16 / Phoenix Modified ver.)
B,Dr. M S9,962028E4-AA00-4963-BF4F-A2005078603A,S9,303,S9,,276,0,303,https://youtu.be/3TTn6FWDZcQ,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Dr. M(닥터 엠) S9 & S10 (pre S8 & S9 / Phoenix Modified ver.)
B,An Interesting View S6,9CB4ACEC-00FE-441E-BA9D-8FEA42C43CD1,S6,200,S6,,185,0,200,https://youtu.be/yVX4_lP7664,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] An Interesting View(서울구경) S6 & S13 (Phoenix Modified ver.)
B,Extravaganza D18,77B83481-5E80-439D-A44B-43474C1687B4,D18,654,D18,,600,0,654,https://youtu.be/xEPow4sDWbU,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Extravaganza(엑스트라바간자) D18 (Phoenix Modified ver.)
B,Mr. Larpus S15,0DE9EED8-8571-4887-8A50-3CECD0BE284A,S15,500,S15,500,458,0,500,https://youtu.be/LU_aZhier0o,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Mr. Larpus(미스터 라푸스) S15 (pre S14 → S15 / Phoenix Modified ver.)
B,She Likes Pizza S10,1F060CA8-0917-4EEA-8228-BD52DEF22A3F,S10,303,S10,303,279,0,303,https://youtu.be/IyYNcWMMGjQ,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] She Likes Pizza(그녀는 피자를 좋아해) S9 & S10 (pre S8 & S9 / Phoenix Modified ver.)
B,Csikos Post D16,26ABAF4F-E1C7-4A32-9992-66BA63AF4749,D16,550,D16,550,517,0,550,https://youtu.be/PjwAeE1sVbI,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Csikos Post(우편마차) D16 (Phoenix Modified ver.)
B,Turkey March D13,755E07A4-5BB3-4CAC-A936-746CF43126A6,D13,304,D13,,287,0,304,https://youtu.be/7KGWQbLGtoA,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Turkey March(터키 행진곡) D13 (pre D9 → D13 / Phoenix Modified ver.)
C,Conflict D26,9603CAFA-75BF-4E94-A784-675CA5D0EF85,D26,1600,D26,1600,1198,23477,1600,https://youtu.be/moHDv2w9y3U,PIU Official,PHOENIX,chart-video,banked,,,,,[PUMP IT UP - PHOENIX] Conflict (컨플릭트) D26
C,Another Truth D19,F4678F44-7CBC-43F7-B204-58A887FC16D5,D19,715,D19,715,167,1872,715,https://youtu.be/Lno2EF7kp38,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Another Truth(또다른 진심) D19 (pre D18 → D19 / Phoenix Modified ver.)
C,Blaze Emotion S2,147C90BF-F3CA-469F-97E6-9933856F3048,S2,117,S2,117,104,129,117,https://youtu.be/x1OTFIcEL2c,NEVSISTER,PHOENIX,chart-video,banked,Y,,,,[PUMP IT UP PHOENIX] Blaze Emotion(블레이즈 이모션) S2 & S3 (pre S3 & S2)
C,Imagination S18,15653381-C069-4359-87F0-6E731623ED6F,S18,721,S18,721,386,1047,721,https://youtu.be/bSO6xqKFnwA,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Imagination(이미지네이션) S18 & S19 (pre S17 → S18 / Phoenix Modified ver.)
C,Conflict S22,6531BE63-B496-472E-A43B-6E4F6088DCC8,S22,1400,S22,1400,1196,1573,1400,https://youtu.be/M4xMfunI8qY,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,,,,[PUMP IT UP PHOENIX] Conflict (컨플릭트) S19 & S22 | S22 RUN S LV.8 TITLE
C,Like Me S14,DDC6ADE1-8C32-4F12-8FCE-EE63CDD5FAC8,S14,481,S14,481,245,675,481,https://youtu.be/LCMJoe7QjKM,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Like Me(라이크 미) S14 (Phoenix Modified ver.)
C,Sarabande S20,FBF0C346-AB65-4277-92BE-4C58F82DBCB2,S20,1111,S21,1111,521,1596,1111,https://youtu.be/COBESy-EzwA,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate S21,[PUMP IT UP PHOENIX] Sarabande (사라반드) S21 (PNX1 S20)
C,Tales of Pumpnia D21,24892DAA-BB0B-42E0-B01B-0742CD43B10C,D21,1125,D21,1125,295,1671,1125,https://youtu.be/-nyqpq9J-L8,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Tales of Pumpnia(테일즈 오브 펌프니아) D21 (pre D20 → D21 / Phoenix Modified ver.)
C,Final Audition Ep. 2-2 D23,43F26510-DC01-42D6-8F28-87CF2045B18B,D23,1213,D23,,520,1591,1213,https://youtu.be/dvdxvkr-4cM,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Final Audition Ep. 2-2 D23 (Phoenix Modified ver.)
C,Mental Rider D22,F3D7D79E-2B1B-42B6-BB20-45594722E34A,D22,1200,D23,1200,506,1495,1200,https://youtu.be/QQMvHsiTpFQ,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D23,[PUMP IT UP PHOENIX] Mental Rider(멘탈 라이더) D23 (PNX1 D22)
C,Come to Me S17,AD3E691C-AADA-477C-B07F-EF82E60D8F4F,S17,786,S18,786,250,21,786,https://youtu.be/QmNPPq2Vsrk,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,P2 rerate S18,[PUMP IT UP PHOENIX] Come to Me (컴 투 미) S13 & S18 (PNX S17) | GIMMICK LV.4 TITLE
C,Wedding Crashers - SHORT CUT - S4,8306CEC4-75CB-4115-826D-393154112144,S4,284,S4,284,78,22,284,https://youtu.be/0LMEZTnDzKM,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,,,,[PUMP IT UP PHOENIX] Wedding Crashers(웨딩 크래셔) - SHORT CUT - S4 & S7 (Phoenix Modified ver.)
C,Pop The Track - SHORT CUT - D16,10335C51-D036-4EB7-BCD2-F04B81F74475,D16,882,D16,,282,46,882,https://youtu.be/npeDr9bumF4,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Pop The Track - SHORT CUT - D16 (Phoenix Modified ver.)
C,Destination - SHORT CUT - D21,BBC92E59-EB32-44D0-827C-2DD0C69B9D10,D21,1186,D22,826,449,1474,1186,https://youtu.be/9tONP0GeecU,NEVSISTER,PHOENIX,chart-video,banked,,,,P2 rerate D22,[PUMP IT UP PHOENIX] Destination - SHORT CUT - D21 (pre D20 → D21 / Phoenix Modified ver.)
C,Extravaganza - SHORT CUT - D16,604ED470-4527-4B77-A89F-1D9074E69917,D16,820,D17,,285,23,820,https://youtu.be/TP6E8cpAv40,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D17,"[PUMP IT UP PHOENIX] Extravaganza - SHORT CUT - D17 (PNX1 D16, XX D15)"
C,Hyperion - SHORT CUT - S20,3ECC24BE-E1FF-4232-9CA1-96A6DDB094F4,S20,1032,S21,1032,372,20,1032,https://youtu.be/DqZwBZ8OjZY,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,,Y,P2 rerate S21,[PUMP IT UP PHOENIX] Hyperion (히페리온) - SHORT CUT - S16 & S21 (PNX1 S20)
C,Moonlight - SHORT CUT - S19,E0871A14-DC1F-43B8-9281-68193B5890F3,S19,800,S19,800,286,20,800,https://youtu.be/UD4dCDT_nZY,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,,,,[PUMP IT UP PHOENIX] Moonlight(월광) - SHORT CUT - S15 & S19 (Phoenix Modified ver.)
C,Tales of Pumpnia D18,B5B07DA7-64DE-4A19-940D-70A996A74366,D18,1052,D18,1052,119,1581,1052,https://youtu.be/GB-vaFnJoqo,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] Tales of Pumpnia(테일즈 오브 펌프니아) D18 (pre D17 → D18 / Phoenix Modified ver.)
C,K.O.A : Alice in Wonderworld - SHORT CUT - D18,4761EE00-BCDD-4EFE-86E3-F60839C35A9B,D18,973,D18,,327,66,973,https://youtu.be/KV0Qlupj5zo,NEVSISTER,PHOENIX,chart-video,banked,,,,,[PUMP IT UP PHOENIX] K.O.A : Alice In Wonderworld - SHORT CUT - D18 (Phoenix Modified ver.)
C,Love is a Danger Zone pt. 2 - SHORT CUT - D23,2B175D30-2BCE-4ACE-BC93-5B6A985E8AE2,D23,1244,D23,1244,366,134,1244,https://youtu.be/kvHDjRuzX0Y,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,,[PUMP IT UP PHOENIX] Love is a Danger Zone pt.2 - SHORT CUT - D23 (pre D22 → D23 / Modified ver.)
C,Poseidon - SHORT CUT - S14,EA88F939-A1CB-4DC6-AEAF-751D022612EE,S14,610,S14,610,195,47,610,https://youtu.be/qYaVIP8efzU,NEVSISTER,PHOENIX,chart-video,cache-candidate,Y,Right,,,[PUMP IT UP PHOENIX] Poseidon(포세이돈) - SHORT CUT - S11 & S14 (Phoenix Modified ver.)
C,Tales of Pumpnia S20,58179303-1869-42C3-9EE3-944595B2699D,S20,1068,S20,1068,279,1433,1068,https://youtu.be/a8pgyhNsbnE,NEVSISTER,PHOENIX,chart-video,banked,Y,Right,,,[PUMP IT UP PHOENIX] Tales of Pumpnia S17 & S20 (XX S16 & S19 | S20 GIMMICK LV.8 TITLE)
C,Tales of Pumpnia S17,7B01FEBB-DCFA-4961-BF8B-C161E5390584,S17,1023,S17,1023,118,1521,1023,https://youtu.be/a8pgyhNsbnE,NEVSISTER,PHOENIX,chart-video,banked,Y,Left,,,[PUMP IT UP PHOENIX] Tales of Pumpnia S17 & S20 (XX S16 & S19 | S20 GIMMICK LV.8 TITLE)
C,Break it Down D21,4B0439B1-C6DE-4997-A580-573EE34E791F,D21,1000,D22,1000,383,28,1000,https://youtu.be/5DABfNiBz_I,NEVSISTER,PHOENIX,chart-video,banked,,,Y,P2 rerate D22,[PUMP IT UP PHOENIX] Break It Down (브레이크 잇 다운) D22 (PNX1 D21)
C,Trotpris - SHORT CUT - D15,6BD508CC-A134-4667-A98F-67A47C61DEB8,D15,668,D15,668,229,42,668,https://youtu.be/eK0DqUZg3DY,NEVSISTER,PHOENIX,chart-video,cache-candidate,,,,,[PUMP IT UP PHOENIX] Trotpris(트롯프리스) - SHORT CUT - D15 (pre D14 → D15 / Phoenix Modified ver.)
